Unnamed: 0,Cena,Kompozice bytu,Rozměry bytu,Lokace,Čistá cena
0,19 000 Kč/měsíc,73,3+1,"Slezská, Zlín",19000
1,8 300 Kč/měsíc,26,1+kk,"Tečovská, Zlín - Malenovice",8300
3,18 700 Kč/měsíc,65,2+kk,"Lorencova, Zlín",18700
4,12 000 Kč/měsíc,56,2+1,"Dlouhá, Zlín",12000
5,9 000 Kč/měsíc,25,1+1,"Vysoká, Zlín",9000
6,14 900 Kč/měsíc,21,1+kk,"Zahradní, Zlín - Malenovice",14900
7,16 000 Kč/měsíc,68,3+1,"Tyršova, Zlín - Malenovice",16000
8,25 000 Kč/měsíc,96,2+kk,"Lešetín I, Zlín",25000
10,17 000 Kč/měsíc,68,3+1,"Beckovská, Zlín",17000
11,10 000 Kč/měsíc,34,1+1,"Větrná, Zlín",10000
12,14 000 Kč/měsíc,48,2+1,"Dukelská, Zlín",14000
13,10 000 Kč/měsíc,58,2+1,"Václavská, Zlín - Kudlov",10000
14,11 500 Kč/měsíc,36,1+1,"Podlesí V, Zlín",11500
15,16 000 Kč/měsíc,64,3+1,"Budovatelská, Zlín",16000
16,15 900 Kč/měsíc,55,2+1,"Chelčického, Zlín - Malenovice",15900
17,18 000 Kč/měsíc,96,3+1,Zlín,18000
18,15 000 Kč/měsíc,115,3+1,"Pod Veselou, Slušovice",15000
19,15 500 Kč/měsíc,57,2+kk,"Komenského, Fryšták",15500
20,20 690 Kč/měsíc,64,2+kk,"třída Svobody, Zlín - Malenovice",20690
21,22 000 Kč/měsíc,85,2+kk,Luhačovice,22000
22,14 900 Kč/měsíc,37,1+kk,"třída Svobody, Zlín - Malenovice",14900
23,17 500 Kč/měsíc,60,2+kk,"Zarámí, Zlín",17500
24,15 800 Kč/měsíc,44,2+1,"Na Honech II, Zlín",15800
26,14 000 Kč/měsíc,68,2+1,"Havlíčkova, Otrokovice",14000
27,10 400 Kč/měsíc,33,1+1,"Česká, Zlín",10400
28,9 000 Kč/měsíc,57,2+1,"Družstevní, Slušovice",9000
29,12 000 Kč/měsíc,48,2+kk,"tř. Spojenců, Otrokovice",12000
30,18 500 Kč/měsíc,51,2+kk,"Sadová, Zlín",18500
31,16 500 Kč/měsíc,58,2+1,"Cihlářská, Zlín",16500
32,9 500 Kč/měsíc,28,1+kk,"Lorencova, Zlín",9500
